Key,Study,Treatment,Treatment2
S22db72a6527820a4.Baseline.Avocado,Avocado,Avocado,
S22db72a6527820a4.End.Avocado,Avocado,Avocado,
S64fd1abded814a60.Baseline.NoAvocado,Avocado,Control,
S257f9c592d19d9d1.Baseline.Avocado,Avocado,Avocado,
S257f9c592d19d9d1.End.Avocado,Avocado,Avocado,
S3b2259bfc5a9d1f1.Baseline.Avocado,Avocado,Avocado,
S3b2259bfc5a9d1f1.End.Avocado,Avocado,Avocado,
S6cd8c3e0517f5c14.Baseline.Avocado,Avocado,Avocado,
Sc7b8549ef9d6836.Baseline.NoAvocado,Avocado,Control,
Sc7b8549ef9d6836.End.NoAvocado,Avocado,Control,
S44c98d88c0cb65c8.Baseline.NoAvocado,Avocado,Control,
S44c98d88c0cb65c8.End.NoAvocado,Avocado,Control,
S6f5dac8dea3a078b.Baseline.Avocado,Avocado,Avocado,
S5330afd08b28197a.Baseline.NoAvocado,Avocado,Control,
S5330afd08b28197a.End.NoAvocado,Avocado,Control,
S7a12990c688af337.Baseline.NoAvocado,Avocado,Control,
S7a12990c688af337.End.NoAvocado,Avocado,Control,
S566b616296857f30.Baseline.Avocado,Avocado,Avocado,
S566b616296857f30.End.Avocado,Avocado,Avocado,
S3c6f16ec4137b99a.Baseline.Avocado,Avocado,Avocado,
S3c6f16ec4137b99a.End.Avocado,Avocado,Avocado,
S11a4dd92f2fd2866.Baseline.Avocado,Avocado,Avocado,
S11a4dd92f2fd2866.End.Avocado,Avocado,Avocado,
S4049e52d4004ddd3.Baseline.NoAvocado,Avocado,Control,
S4049e52d4004ddd3.End.NoAvocado,Avocado,Control,
S1acbcdf72239a9a3.Baseline.Avocado,Avocado,Avocado,
S21a3be0660f055fd.Baseline.Avocado,Avocado,Avocado,
S21a3be0660f055fd.End.Avocado,Avocado,Avocado,
S72725218219dfe87.Baseline.NoAvocado,Avocado,Control,
S72725218219dfe87.End.NoAvocado,Avocado,Control,
S1ed38e0b80f9597d.Baseline.Avocado,Avocado,Avocado,
S1ed38e0b80f9597d.End.Avocado,Avocado,Avocado,
S417125cef80bdea4.Baseline.Avocado,Avocado,Avocado,
S417125cef80bdea4.End.Avocado,Avocado,Avocado,
S5780d1a74388d272.Baseline.NoAvocado,Avocado,Control,
S5780d1a74388d272.End.NoAvocado,Avocado,Control,
S6b8dfeab51d17c96.Baseline.Avocado,Avocado,Avocado,
S6b8dfeab51d17c96.End.Avocado,Avocado,Avocado,
S27baef33a7b05a2c.Baseline.Avocado,Avocado,Avocado,
S27baef33a7b05a2c.End.Avocado,Avocado,Avocado,
S11bb2bbd1ab0c378.Baseline.NoAvocado,Avocado,Control,
S11bb2bbd1ab0c378.End.NoAvocado,Avocado,Control,
S34d66a9742a772cd.Baseline.NoAvocado,Avocado,Control,
S34d66a9742a772cd.End.NoAvocado,Avocado,Control,
S1fe8afd843e80def.Baseline.NoAvocado,Avocado,Control,
S1fe8afd843e80def.End.NoAvocado,Avocado,Control,
S53c6b0a79fe31969.Baseline.NoAvocado,Avocado,Control,
S53c6b0a79fe31969.End.NoAvocado,Avocado,Control,
S4cbe04ceb10a67c7.Baseline.Avocado,Avocado,Avocado,
S4cbe04ceb10a67c7.End.Avocado,Avocado,Avocado,
S149546a71d4553a4.Baseline.NoAvocado,Avocado,Control,
S149546a71d4553a4.End.NoAvocado,Avocado,Control,
S2539321bb7dcb23c.Baseline.NoAvocado,Avocado,Control,
S2539321bb7dcb23c.End.NoAvocado,Avocado,Control,
S2cf4bdd14c437f01.Baseline.Avocado,Avocado,Avocado,
S2cf4bdd14c437f01.End.Avocado,Avocado,Avocado,
S3e5ee1e152e1c359.Baseline.NoAvocado,Avocado,Control,
S3e5ee1e152e1c359.End.NoAvocado,Avocado,Control,
S3e724687479a46f1.Baseline.Avocado,Avocado,Avocado,
S3e724687479a46f1.End.Avocado,Avocado,Avocado,
S5992fef797944fa1.Baseline.NoAvocado,Avocado,Control,
S378e876c4dc242bf.Baseline.Avocado,Avocado,Avocado,
S378e876c4dc242bf.End.Avocado,Avocado,Avocado,
S5169892cc8126465.Baseline.Avocado,Avocado,Avocado,
S5169892cc8126465.End.Avocado,Avocado,Avocado,
Sffbee53114dd623.Baseline.Avocado,Avocado,Avocado,
S2f3144f6c87b5b3c.Baseline.NoAvocado,Avocado,Control,
S2f3144f6c87b5b3c.End.NoAvocado,Avocado,Control,
S6f1f71af82ca7985.Baseline.Avocado,Avocado,Avocado,
S6f1f71af82ca7985.End.Avocado,Avocado,Avocado,
S5fc92ea963810262.Baseline.NoAvocado,Avocado,Control,
S5fc92ea963810262.End.NoAvocado,Avocado,Control,
S197b5a4c0b699144.Baseline.Avocado,Avocado,Avocado,
S197b5a4c0b699144.End.Avocado,Avocado,Avocado,
Sa488942cd0b1280.Baseline.NoAvocado,Avocado,Control,
Sa488942cd0b1280.End.NoAvocado,Avocado,Control,
S5c5300db830ee575.Baseline.NoAvocado,Avocado,Control,
S49d6fa1d5ce73b72.Baseline.NoAvocado,Avocado,Control,
S49d6fa1d5ce73b72.End.NoAvocado,Avocado,Control,
S27917e8b20557a18.Baseline.NoAvocado,Avocado,Control,
S364adbd716721345.Baseline.Avocado,Avocado,Avocado,
S364adbd716721345.End.Avocado,Avocado,Avocado,
S30d116e125bca059.Baseline.Avocado,Avocado,Avocado,
S30d116e125bca059.End.Avocado,Avocado,Avocado,
S2649e59f8ea30700.Baseline.Avocado,Avocado,Avocado,
S2649e59f8ea30700.End.Avocado,Avocado,Avocado,
S61f4cde67a2ff8c2.Baseline.NoAvocado,Avocado,Control,
S61f4cde67a2ff8c2.End.NoAvocado,Avocado,Control,
S4d8d47df0479b5f3.Baseline.Avocado,Avocado,Avocado,
S4d8d47df0479b5f3.End.Avocado,Avocado,Avocado,
S3de9a5273582435a.Baseline.NoAvocado,Avocado,Control,
S532aaa7d99a46e97.Baseline.Avocado,Avocado,Avocado,
S532aaa7d99a46e97.End.Avocado,Avocado,Avocado,
S2a2ad75b76a777d0.Baseline.NoAvocado,Avocado,Control,
S2a2ad75b76a777d0.End.NoAvocado,Avocado,Control,
S59ec19da4e950c54.Baseline.Avocado,Avocado,Avocado,
S59ec19da4e950c54.End.Avocado,Avocado,Avocado,
S9cbb5fb614af763.Baseline.NoAvocado,Avocado,Control,
S9cbb5fb614af763.End.NoAvocado,Avocado,Control,
S2753f52772a2f7c9.Baseline.Avocado,Avocado,Avocado,
S2753f52772a2f7c9.End.Avocado,Avocado,Avocado,
S4599b52deb5b61ca.Baseline.Avocado,Avocado,Avocado,
S4599b52deb5b61ca.End.Avocado,Avocado,Avocado,
S759029355f2d08d9.Baseline.NoAvocado,Avocado,Control,
S759029355f2d08d9.End.NoAvocado,Avocado,Control,
S54e133b41e7998bc.Baseline.Avocado,Avocado,Avocado,
S54e133b41e7998bc.End.Avocado,Avocado,Avocado,
S7cacec72c3af5beb.Baseline.NoAvocado,Avocado,Control,
S4389236083b79082.Baseline.Avocado,Avocado,Avocado,
S4389236083b79082.End.Avocado,Avocado,Avocado,
S41475e71c23b936f.Baseline.NoAvocado,Avocado,Control,
S41475e71c23b936f.End.NoAvocado,Avocado,Control,
S69dfcb7f3f18bc57.Baseline.NoAvocado,Avocado,Control,
S69dfcb7f3f18bc57.End.NoAvocado,Avocado,Control,
Sa60372663135fba.Baseline.Avocado,Avocado,Avocado,
Sa60372663135fba.End.Avocado,Avocado,Avocado,
S5a9b531ce9a98caf.Baseline.Avocado,Avocado,Avocado,
S5a9b531ce9a98caf.End.Avocado,Avocado,Avocado,
S5b84a0e52e4312c0.Baseline.Avocado,Avocado,Avocado,
S5b84a0e52e4312c0.End.Avocado,Avocado,Avocado,
S514db0db686e8bdc.Baseline.NoAvocado,Avocado,Control,
S514db0db686e8bdc.End.NoAvocado,Avocado,Control,
S5f0f105812ee0635.Baseline.NoAvocado,Avocado,Control,
S5f0f105812ee0635.End.NoAvocado,Avocado,Control,
S2598a03cc24d44f5.Baseline.NoAvocado,Avocado,Control,
S2598a03cc24d44f5.End.NoAvocado,Avocado,Control,
Se8be463f88683da.End.Avocado,Avocado,Avocado,
S2a1fd055971a377e.Baseline.Avocado,Avocado,Avocado,
S2a1fd055971a377e.End.Avocado,Avocado,Avocado,
S23d1ddf60792e40d.Baseline.Avocado,Avocado,Avocado,
S23d1ddf60792e40d.End.Avocado,Avocado,Avocado,
S6af18db5097db067.Baseline.NoAvocado,Avocado,Control,
S6af18db5097db067.End.NoAvocado,Avocado,Control,
S195cf91896d1d0d3.Baseline.NoAvocado,Avocado,Control,
S4902014c3fb0d3af.Baseline.NoAvocado,Avocado,Control,
S4902014c3fb0d3af.End.NoAvocado,Avocado,Control,
S8d04c9e9c066218.Baseline.Avocado,Avocado,Avocado,
S8d04c9e9c066218.End.Avocado,Avocado,Avocado,
S7aec1d125d87d32.Baseline.Avocado,Avocado,Avocado,
S7aec1d125d87d32.End.Avocado,Avocado,Avocado,
S7674498ea10872da.Baseline.Avocado,Avocado,Avocado,
S7674498ea10872da.End.Avocado,Avocado,Avocado,
S6dd887cc4e3a4b69.Baseline.Avocado,Avocado,Avocado,
S74c9eb4d23f3c05.Baseline.Avocado,Avocado,Avocado,
S74c9eb4d23f3c05.End.Avocado,Avocado,Avocado,
S69fd5e1b7e29704a.Baseline.NoAvocado,Avocado,Control,
S69fd5e1b7e29704a.End.NoAvocado,Avocado,Control,
S64d8567c3160a02f.Baseline.NoAvocado,Avocado,Control,
S64d8567c3160a02f.End.NoAvocado,Avocado,Control,
S7916bb412a65e8d3.Baseline.NoAvocado,Avocado,Control,
S7916bb412a65e8d3.End.NoAvocado,Avocado,Control,
S496b949da5c605e0.Baseline.NoAvocado,Avocado,Control,
S496b949da5c605e0.End.NoAvocado,Avocado,Control,
S255b3dfae25bfd1f.Baseline.Avocado,Avocado,Avocado,
S255b3dfae25bfd1f.End.Avocado,Avocado,Avocado,
S15760b4882d59794.Baseline.NoAvocado,Avocado,Control,
S15760b4882d59794.End.NoAvocado,Avocado,Control,
S2d23238c86ff44a8.Baseline.Avocado,Avocado,Avocado,
S2d23238c86ff44a8.End.Avocado,Avocado,Avocado,
S4fa9d65e2cba1c7b.138.BaselineAvocado,Avocado,Avocado,
S53322393e515ece0.End.Avocado,Avocado,Avocado,
S216dbc9ddab1ee75.Baseline.Avocado,Avocado,Avocado,
S216dbc9ddab1ee75.End.Avocado,Avocado,Avocado,
S2b6400af3211f653.Baseline.Avocado,Avocado,Avocado,
S2b6400af3211f653.End.Avocado,Avocado,Avocado,
Sb9b1a20a6ef6f58.Baseline.NoAvocado,Avocado,Control,
Sb9b1a20a6ef6f58.End.NoAvocado,Avocado,Control,
S4611f5aea3068185.Baseline.NoAvocado,Avocado,Control,
S4611f5aea3068185.End.NoAvocado,Avocado,Control,
S77274bca8bd73b13.Baseline.Avocado,Avocado,Avocado,
S2d1d44b0f59694b2.Baseline.NoAvocado,Avocado,Control,
S2d1d44b0f59694b2.End.NoAvocado,Avocado,Control,
S7fee6a984acdffe7.Baseline.Avocado,Avocado,Avocado,
S7fee6a984acdffe7.End.Avocado,Avocado,Avocado,
S7c9a673d0782f00e.Baseline.NoAvocado,Avocado,Control,
S7c9a673d0782f00e.End.NoAvocado,Avocado,Control,
S513600811f949cc0.Baseline.NoAvocado,Avocado,Control,
S513600811f949cc0.End.NoAvocado,Avocado,Control,
S4da05c6a574ccfe6.Baseline.NoAvocado,Avocado,Control,
S4da05c6a574ccfe6.End.NoAvocado,Avocado,Control,
Sdb1d3e561abfa37.Baseline.NoAvocado,Avocado,Control,
S72d6e3122b366730.Baseline.Avocado,Avocado,Avocado,
S4274532493c736b4.Baseline.Avocado,Avocado,Avocado,
S4274532493c736b4.End.Avocado,Avocado,Avocado,
S6f2d74172d4b12fa.Baseline.Avocado,Avocado,Avocado,
S4f9b8ab95b8588f4.Baseline.NoAvocado,Avocado,Control,
S4f9b8ab95b8588f4.End.NoAvocado,Avocado,Control,
S6f611467b6e6a66b.Baseline.NoAvocado,Avocado,Control,
S6961ee954f5fbfd2.Baseline.NoAvocado,Avocado,Control,
S6961ee954f5fbfd2.End.NoAvocado,Avocado,Control,
S66a743bde15f406c.Baseline.NoAvocado,Avocado,Control,
S66a743bde15f406c.End.NoAvocado,Avocado,Control,
S1e4af95952f7aeb.Baseline.Avocado,Avocado,Avocado,
S1e4af95952f7aeb.End.Avocado,Avocado,Avocado,
S34286db36bbace51.Baseline.Avocado,Avocado,Avocado,
S34286db36bbace51.End.Avocado,Avocado,Avocado,
S10b675e2c65a918f.Baseline.Avocado,Avocado,Avocado,
S10b675e2c65a918f.End.Avocado,Avocado,Avocado,
S8e01ee2079c2cb5.Baseline.Avocado,Avocado,Avocado,
S8e01ee2079c2cb5.End.Avocado,Avocado,Avocado,
S35682dd839bf7a2.Baseline.NoAvocado,Avocado,Control,
S35682dd839bf7a2.End.NoAvocado,Avocado,Control,
S1d8766507544dfea.Baseline.NoAvocado,Avocado,Control,
S1d8766507544dfea.End.NoAvocado,Avocado,Control,
S7fd2768bdf194672.Baseline.NoAvocado,Avocado,Control,
S7fd2768bdf194672.End.NoAvocado,Avocado,Control,
Sbc839da159495e5.Baseline.Avocado,Avocado,Avocado,
Sbc839da159495e5.End.Avocado,Avocado,Avocado,
S1f50dafe3ec57b15.Baseline.Avocado,Avocado,Avocado,
S1f50dafe3ec57b15.End.Avocado,Avocado,Avocado,
S531cc67bcfce7901.Baseline.NoAvocado,Avocado,Control,
S531cc67bcfce7901.End.NoAvocado,Avocado,Control,
S162795adb2de8df9.Baseline.NoAvocado,Avocado,Control,
S162795adb2de8df9.End.NoAvocado,Avocado,Control,
S5d4a8a84a9cbee62.Baseline.Avocado,Avocado,Avocado,
S5d4a8a84a9cbee62.End.Avocado,Avocado,Avocado,
S12e630e5d3739ef5.Baseline.Avocado,Avocado,Avocado,
S12e630e5d3739ef5.End.Avocado,Avocado,Avocado,
S3e87e58434cf8dc7.Baseline.NoAvocado,Avocado,Control,
S3e87e58434cf8dc7.End.NoAvocado,Avocado,Control,
S68dc404e2acdcc83.Baseline.NoAvocado,Avocado,Control,
S68dc404e2acdcc83.End.NoAvocado,Avocado,Control,
S67fb60920ad0ca8f.Baseline.NoAvocado,Avocado,Control,
S67fb60920ad0ca8f.End.NoAvocado,Avocado,Control,
S69484792fd80fe26.Baseline.NoAvocado,Avocado,Control,
S69484792fd80fe26.End.NoAvocado,Avocado,Control,
Sdaae95147e38909.Baseline.Avocado,Avocado,Avocado,
S7d1fb8967942553.Baseline.Avocado,Avocado,Avocado,
S7d1fb8967942553.End.Avocado,Avocado,Avocado,
S3dfb18535534d31c.Baseline.Avocado,Avocado,Avocado,
S3dfb18535534d31c.End.Avocado,Avocado,Avocado,
S75acb89b4814a87b.Baseline.Avocado,Avocado,Avocado,
S75acb89b4814a87b.End.Avocado,Avocado,Avocado,
S5dbf0e9f020cb2bf.Baseline.NoAvocado,Avocado,Control,
S5dbf0e9f020cb2bf.End.NoAvocado,Avocado,Control,
S5a9d41a8cf061db8.Baseline.NoAvocado,Avocado,Control,
S5a9d41a8cf061db8.End.NoAvocado,Avocado,Control,
S4b5fc41f0e29767c.Baseline.NoAvocado,Avocado,Control,
S4b5fc41f0e29767c.End.NoAvocado,Avocado,Control,
S47a9ad830831e3de.Baseline.Avocado,Avocado,Avocado,
S47a9ad830831e3de.End.Avocado,Avocado,Avocado,
S8446cfe4e47e8a5.Baseline.Avocado,Avocado,Avocado,
S8446cfe4e47e8a5.End.Avocado,Avocado,Avocado,
S14468a83382b9ca4.Baseline.NoGrains,Grains,Control,
S14468a83382b9ca4.End.NoGrains,Grains,Control,
S6e3679ff9a6871a2.Baseline.NoGrains,Grains,Control,
S6e3679ff9a6871a2.End.NoGrains,Grains,Control,
S77e85eb55d3643c9.Baseline.Grains,Grains,Grains,Barley
S77e85eb55d3643c9.End.Grains,Grains,Grains,Barley
Scd5fa051418822b.Baseline.Grains,Grains,Grains,Oats
Scd5fa051418822b.End.Grains,Grains,Grains,Oats
S5eba072fbdf2c826.Baseline.Grains,Grains,Grains,Barley
S5eba072fbdf2c826.End.Grains,Grains,Grains,Barley
S59635522dae64474.Baseline.Grains,Grains,Grains,Oats
S59635522dae64474.End.Grains,Grains,Grains,Oats
S6a21e60ebfebb493.Baseline.NoGrains,Grains,Control,
S6a21e60ebfebb493.End.NoGrains,Grains,Control,
S422b5142e5fa07e7.Baseline.Grains,Grains,Grains,Oats
S422b5142e5fa07e7.End.Grains,Grains,Grains,Oats
S262b7c9994d7585f.Baseline.Grains,Grains,Grains,Barley
S262b7c9994d7585f.End.Grains,Grains,Grains,Barley
S6ea8c07f9216bbc.Baseline.Grains,Grains,Grains,Barley
S6ea8c07f9216bbc.End.Grains,Grains,Grains,Barley
S292ae723528e1d39.Baseline.Grains,Grains,Grains,Barley
S292ae723528e1d39.End.Grains,Grains,Grains,Barley
S1d248427a7c1ed12.Baseline.Grains,Grains,Grains,Oats
S1d248427a7c1ed12.End.Grains,Grains,Grains,Oats
S37697d36000a9c5a.Baseline.NoGrains,Grains,Control,
S37697d36000a9c5a.End.NoGrains,Grains,Control,
S52d848c88f02c9f1.Baseline.NoGrains,Grains,Control,
S52d848c88f02c9f1.End.NoGrains,Grains,Control,
S7abfe006ec176e17.Baseline.Grains,Grains,Grains,Oats
S7abfe006ec176e17.End.Grains,Grains,Grains,Oats
S48e2cfeaea19f171.Baseline.Grains,Grains,Grains,Barley
S48e2cfeaea19f171.End.Grains,Grains,Grains,Barley
S10b45b67ce9c6d53.Baseline.Grains,Grains,Grains,Oats
S10b45b67ce9c6d53.End.Grains,Grains,Grains,Oats
S3973676e8c833efa.Baseline.Grains,Grains,Grains,Barley
S3973676e8c833efa.End.Grains,Grains,Grains,Barley
S82e72fef11ee9f6.Baseline.Grains,Grains,Grains,Barley
S82e72fef11ee9f6.End.Grains,Grains,Grains,Barley
S369d26aab6eadf6b.Baseline.NoGrains,Grains,Control,
S369d26aab6eadf6b.End.NoGrains,Grains,Control,
Sc61cb33f315db3b.Baseline.NoGrains,Grains,Control,
Sc61cb33f315db3b.End.NoGrains,Grains,Control,
S316c2ebfaf3c53d2.Baseline.Grains,Grains,Grains,Barley
S316c2ebfaf3c53d2.End.Grains,Grains,Grains,Barley
S4945e178be8e1214.Baseline.Grains,Grains,Grains,Barley
S4945e178be8e1214.End.Grains,Grains,Grains,Barley
S7fcedd05c6cb1fe3.Baseline.NoGrains,Grains,Control,
S7fcedd05c6cb1fe3.End.NoGrains,Grains,Control,
S28c81fe64a028f05.Baseline.Grains,Grains,Grains,Oats
S28c81fe64a028f05.End.Grains,Grains,Grains,Oats
S6719c2047261fbe9.Baseline.Grains,Grains,Grains,Oats
S6719c2047261fbe9.End.Grains,Grains,Grains,Oats
S69114a9d6b46616e.Baseline.Grains,Grains,Grains,Oats
S69114a9d6b46616e.End.Grains,Grains,Grains,Oats
S1dbbcdab805c60b1.Baseline.NoGrains,Grains,Control,
S1dbbcdab805c60b1.End.NoGrains,Grains,Control,
S2e148df9c42888af.Baseline.NoGrains,Grains,Control,
S2e148df9c42888af.End.NoGrains,Grains,Control,
S2954eb503586c6f.Baseline.Grains,Grains,Grains,Oats
S2954eb503586c6f.End.Grains,Grains,Grains,Oats
S55803a7bc25f11f3.Baseline.Grains,Grains,Grains,Barley
S55803a7bc25f11f3.End.Grains,Grains,Grains,Barley
S7b743ed5955c892e.Baseline.NoGrains,Grains,Control,
S7b743ed5955c892e.End.NoGrains,Grains,Control,
S33322ce82bf7825c.Baseline.Grains,Grains,Grains,Barley
S33322ce82bf7825c.End.Grains,Grains,Grains,Barley
S28bbd7af29164.Baseline.Grains,Grains,Grains,Barley
S28bbd7af29164.End.Grains,Grains,Grains,Barley
S163c3ca714e952b9.Baseline.Grains,Grains,Grains,Oats
S163c3ca714e952b9.End.Grains,Grains,Grains,Oats
S3e85b0491f4d7c1f.Baseline.NoGrains,Grains,Control,
S3e85b0491f4d7c1f.End.NoGrains,Grains,Control,
S401ebdeae953dd3a.Baseline.Grains,Grains,Grains,Oats
S401ebdeae953dd3a.End.Grains,Grains,Grains,Oats
S6c13ed3f20bfe7f.Baseline.Grains,Grains,Grains,Oats
S6c13ed3f20bfe7f.End.Grains,Grains,Grains,Oats
S65c2a1f0ea65378c.Baseline.NoGrains,Grains,Control,
S65c2a1f0ea65378c.End.NoGrains,Grains,Control,
S1bbdeb5671a536e9.Baseline.Grains,Grains,Grains,Barley
S1bbdeb5671a536e9.End.Grains,Grains,Grains,Barley
S5b2620cd37b874af.Baseline.NoGrains,Grains,Control,
S5b2620cd37b874af.End.NoGrains,Grains,Control,
S2c301b20e38641c3.Baseline.Grains,Grains,Grains,Oats
S2c301b20e38641c3.End.Grains,Grains,Grains,Oats
S3a70cdc40f1b448.Baseline.Grains,Grains,Grains,Barley
S3a70cdc40f1b448.End.Grains,Grains,Grains,Barley
S7ae5d51416294593.Baseline.NoGrains,Grains,Control,
S7ae5d51416294593.End.NoGrains,Grains,Control,
S5f161dcee7268ddf.Baseline.Grains,Grains,Grains,Oats
S5f161dcee7268ddf.End.Grains,Grains,Grains,Oats
S4099a1c14d258de0.Baseline.NoGrains,Grains,Control,
S4099a1c14d258de0.End.NoGrains,Grains,Control,
S761db0f3edb6ad7b.Baseline.Grains,Grains,Grains,Oats
S761db0f3edb6ad7b.End.Grains,Grains,Grains,Oats
S2b6a443766ed886b.Baseline.Grains,Grains,Grains,Oats
S2b6a443766ed886b.End.Grains,Grains,Grains,Oats
S5f9983128f739c7a.Baseline.Grains,Grains,Grains,Oats
S5f9983128f739c7a.End.Grains,Grains,Grains,Oats
S3f7680fe00f6823a.Baseline.NoGrains,Grains,Control,
S3f7680fe00f6823a.End.NoGrains,Grains,Control,
S382a77574b6098a8.Baseline.Grains,Grains,Grains,Barley
S382a77574b6098a8.End.Grains,Grains,Grains,Barley
S14d1410cdc7f8d1f.Baseline.Grains,Grains,Grains,Barley
S14d1410cdc7f8d1f.End.Grains,Grains,Grains,Barley
S345c8cc9a794c45.Baseline.Grains,Grains,Grains,Oats
S345c8cc9a794c45.End.Grains,Grains,Grains,Oats
Sc2a6ab6e491cbbe.Baseline.Grains,Grains,Grains,Oats
Sc2a6ab6e491cbbe.End.Grains,Grains,Grains,Oats
S41f375e80c37a9b7.Baseline.Grains,Grains,Grains,Barley
S41f375e80c37a9b7.End.Grains,Grains,Grains,Barley
S1c785a07c879f4ed.Baseline.Grains,Grains,Grains,Barley
S1c785a07c879f4ed.End.Grains,Grains,Grains,Barley
S357b115cf5d7feca.Baseline.Grains,Grains,Grains,Oats
S357b115cf5d7feca.End.Grains,Grains,Grains,Oats
S49150aec0e8846e0.Baseline.Grains,Grains,Grains,Barley
S49150aec0e8846e0.End.Grains,Grains,Grains,Barley
S46393d3124992f28.Baseline.Grains,Grains,Grains,Barley
S46393d3124992f28.End.Grains,Grains,Grains,Barley
S63016950e886abc9.Baseline.NoGrains,Grains,Control,
S63016950e886abc9.End.NoGrains,Grains,Control,
S18bb21fff7847c4e.Baseline.Grains,Grains,Grains,Barley
S18bb21fff7847c4e.End.Grains,Grains,Grains,Barley
S2bd09588336f1486.Baseline.Grains,Grains,Grains,Oats
S2bd09588336f1486.End.Grains,Grains,Grains,Oats
S55840afbb3a77336.Baseline.NoGrains,Grains,Control,
S55840afbb3a77336.End.NoGrains,Grains,Control,
S79c653e66b60b48a.Baseline.NoGrains,Grains,Control,
S79c653e66b60b48a.End.NoGrains,Grains,Control,
S16c33f2f6fae4032.Baseline.Grains,Grains,Grains,Oats
S16c33f2f6fae4032.End.Grains,Grains,Grains,Oats
S1d9e4b8707b0675e.Baseline.Grains,Grains,Grains,Barley
S1d9e4b8707b0675e.End.Grains,Grains,Grains,Barley
Sadfe4de268f08ab.Baseline.Grains,Grains,Grains,Barley
Sadfe4de268f08ab.End.Grains,Grains,Grains,Barley
S7e6bd69428ba9593.Baseline.NoGrains,Grains,Control,
S7e6bd69428ba9593.End.NoGrains,Grains,Control,
S6be4afc61f9cdde.Baseline.Walnut,Walnut,Walnut,
S6be4afc61f9cdde.End.Walnut,Walnut,Walnut,
S56e912be6de8bef9.Baseline.NoWalnut,Walnut,Control,
S56e912be6de8bef9.End.NoWalnut,Walnut,Control,
Sb108fe5bbae17dc.Baseline.Walnut,Walnut,Walnut,
Sb108fe5bbae17dc.End.Walnut,Walnut,Walnut,
S361ab36a6e8390c6.Baseline.NoWalnut,Walnut,Control,
S361ab36a6e8390c6.End.NoWalnut,Walnut,Control,
S221eaf48b69b27e2.Baseline.NoWalnut,Walnut,Control,
S221eaf48b69b27e2.End.NoWalnut,Walnut,Control,
S42bbf247067db4b9.Baseline.Walnut,Walnut,Walnut,
